PondClass,SppRichness,ShannonH,PielouJ,MeanConnectivity_Blue,MeanConnectivity_Green,MeanConnectivity_BlueGreen
Artificial,7,4.239061267,2.178446558,1.326106803,1.553004474,1.477204388
Artificial,1,4.25842056,Inf,1.290515497,1.380193818,1.331321761
Grassland,9,4.234777034,1.927330086,1.610230522,1.42908399,1.353690682
Grassland,13,4.214280509,1.64302679,1.424360109,1.436931821,1.494815318
Grassland,7,4.238499866,2.178158055,1.917878923,1.345567009,1.535935977
Grassland,10,4.253256603,1.847165873,1.66153766,1.452028642,1.539559969
Forest,18,4.232047161,1.464187833,1.76832439,1.561345511,1.632479823
Forest,17,4.227349794,1.492068998,1.783356839,1.893987971,1.770293161
Grassland,1,4.259688469,Inf,1.484277251,1.535009666,1.422691215
Grassland,8,4.238503234,2.038289199,1.735862949,1.844115207,1.566293132
Artificial,6,4.24619719,2.369847774,1.294163838,1.876348459,1.477604596
Artificial,13,4.241938875,1.653809991,1.287985669,2.181206665,1.69438882
Grassland,21,4.217968409,1.385428584,1.703812312,2.105269166,1.962699025
Forest,4,4.256630038,3.070509523,1.764889845,1.830481891,2.030192385
Grassland,8,4.255376009,2.046403288,1.838579635,1.278726545,1.265327185
Grassland,11,4.230242096,1.764147978,1.886987136,1.703486096,1.713670659
Forest,5,4.250949621,2.641263504,1.425278514,1.809210004,1.752096108
Grassland,18,4.225874393,1.462052202,1.855434221,1.240644106,1.233181278
Forest,12,4.247552398,1.709340831,1.66872714,1.946788038,1.823078659
Grassland,12,4.219318328,1.697978606,1.732703737,1.511365078,1.518214288
Forest,13,4.24483461,1.654938955,1.611066758,1.455895603,1.465310213
Forest,19,4.241138912,1.440389474,1.870173842,1.680305295,1.871151024
Artificial,12,4.231391559,1.702837231,1.680484116,1.414284394,1.480630142
Artificial,18,4.2265382,1.462281863,1.387061308,1.852124499,1.828299259
Grassland,10,4.234238314,1.838906335,1.708262315,1.406900546,1.365061368
Artificial,17,4.223939732,1.490865395,1.412615176,1.899922428,2.061083579
Forest,25,4.253395936,1.321391743,1.819091202,1.505268453,1.550344029
Grassland,12,4.24871051,1.70980689,1.703699448,1.752819657,1.677097405
Artificial,10,4.223797832,1.834372091,1.353457608,1.324767797,1.375140704
Grassland,17,4.242464197,1.497403719,1.721776222,2.060707465,1.557551461
Artificial,14,4.237394741,1.605647098,1.752999001,1.58795305,2.261071905
Forest,5,4.250960645,2.641270354,1.605692052,1.614477074,1.686406317
Grassland,17,4.233001806,1.49406391,1.839972836,1.444696557,1.468949496
Grassland,12,4.20552837,1.692429118,1.768286766,2.25880221,1.920235005
Grassland,13,4.236403906,1.651652066,1.701965795,1.866073096,1.480434264
Forest,7,4.226746495,2.172118017,1.590882383,1.679609066,1.764751923
Grassland,13,4.225825534,1.647527863,1.700078615,1.58776411,1.512850462
Artificial,15,4.224997907,1.560162328,1.615956891,2.034608973,1.562084017
Grassland,29,4.224109711,1.254451621,2.224806361,1.784090332,2.371847182
Forest,12,4.243261157,1.707613909,1.918143781,1.701152873,2.023829291
Forest,13,4.23660181,1.651729223,1.743634727,1.68061472,1.819944792
Artificial,6,4.24825436,2.370995902,1.419846676,2.371836841,1.804846618
Grassland,12,4.236392107,1.7048496,1.432713307,2.058572159,2.078522806
Grassland,17,4.233767297,1.494334095,1.390146022,1.949361452,1.785280684
Artificial,5,4.245104293,2.637631598,1.512562908,1.322209014,1.306605725
Artificial,5,4.254361578,2.643383473,1.574507124,1.408135574,1.326980263
Artificial,15,4.237107441,1.564634008,1.475336241,1.707310795,1.607464417
Grassland,8,4.239243703,2.038645289,1.318936539,1.962121841,1.962905689
Forest,16,4.194436253,1.512823095,1.397803425,1.796733011,1.674752796
Artificial,6,4.245281288,2.369336599,1.359082908,1.490732314,1.553913876
Forest,16,4.190651414,1.511458003,1.739047899,1.699224558,1.822247245
Artificial,7,4.2418627,2.17988621,1.274164124,1.302207087,1.284018607
Artificial,1,4.261080205,Inf,1.300952581,1.632877979,1.485531745
Artificial,9,4.230475312,1.925372288,1.569037033,1.801721881,1.909456716
Artificial,5,4.258204877,2.645771449,1.292968541,1.611773495,1.545370098
Forest,9,4.243929024,1.931495336,1.425830173,1.541288291,1.582240316
Forest,7,4.247500729,2.182783584,1.369233518,1.871946281,1.949895452
Grassland,19,4.21299222,1.430830202,1.492116072,1.72144287,1.7832755
Grassland,17,4.218262755,1.488861671,1.908044244,1.497044656,1.660986734
Forest,20,4.216040096,1.407348759,1.289991739,2.366370447,1.931175182
Artificial,19,4.222873258,1.434186033,1.257238317,1.971978158,1.670476531
Forest,11,4.249083517,1.772005461,1.427489508,1.595986125,1.482079648
Grassland,11,4.240969075,1.768621475,1.517818848,2.079600344,2.042273716
Grassland,22,4.238665834,1.371273898,1.853243934,2.001451271,1.898414152
Grassland,24,4.241081956,1.334490283,1.658440981,1.679279051,1.547587326
Artificial,11,4.24007099,1.768246945,1.833359121,1.539863389,1.714927127
Forest,19,4.21153496,1.430335283,1.796007567,2.074077607,1.861419345
Grassland,24,4.235234854,1.332650446,1.466239025,2.017566564,1.797379903
Artificial,15,4.219840185,1.558257739,1.313014405,1.948261327,1.507873444
Artificial,11,4.231274122,1.764578366,1.625259276,1.990690786,1.891697918
Grassland,14,4.224505681,1.600763134,1.539046327,1.425773407,1.352993563
Forest,12,4.244753961,1.708214657,1.879060946,1.777503369,2.016110032
